name,augmented_name
england_epl, epl
england_epl, premier league
england_epl, english premier league
england_epl, english premier
europe_uefa-champions-league, uefa champions league
europe_uefa-champions-league, champions league
europe_uefa-champions-league, cl
europe_uefa-champions-league, ucl
france_ligue-1, ligue 1
france_ligue-1, ligue1
germany_bundesliga, bundesliga
germany_bundesliga, bundes liga
germany_bundesliga, bundes
italy_serie-a, serie a
italy_serie-a, seriea
italy_serie-a, serie-a
spain_laliga, la liga
spain_laliga, laliga
spain_laliga, la-liga

